ticker
RELIANCE.NS
TCS.NS
HDFCBANK.NS
ICICIBANK.NS
HINDUNILVR.NS
INFY.NS
SBIN.NS
BHARTIARTL.NS
ITC.NS
KOTAKBANK.NS
AXISBANK.NS
MARUTI.NS
WIPRO.NS
ASIANPAINT.NS
HCLTECH.NS
TITAN.NS
NESTLEIND.NS
M&M.NS
SUNPHARMA.NS
BAJFINANCE.NS
ADANIENT.NS
TATASTEEL.NS
ONGC.NS
COALINDIA.NS
JSWSTEEL.NS
DRREDDY.NS
CIPLA.NS
BPCL.NS
HINDALCO.NS
BRITANNIA.NS
TECHM.NS
HEROMOTOCO.NS
EICHERMOT.NS
SHREECEM.NS
TATACOMM.NS
TATACHEM.NS
SIEMENS.NS
PIDILITIND.NS
INDIGO.NS
HAVELLS.NS
MUTHOOTFIN.NS
HDFCAMC.NS
IDFCFIRSTB.NS
POONAWALLA.NS
BHARATFORG.NS
CUMMINSIND.NS
DIXON.NS
POLYCAB.NS
APOLLOTYRE.NS
ASHOKLEY.NS
MRF.NS
TVSMOTOR.NS
AUROPHARMA.NS
BIOCON.NS
LUPIN.NS
SRF.NS
PIIND.NS
MARICO.NS
GODREJPROP.NS
VOLTAS.NS
PAGEIND.NS
MPHASIS.NS
PERSISTENT.NS
COFORGE.NS
TATAELXSI.NS
OBEROIRLTY.NS
PRESTIGE.NS
OIL.NS
SUZLON.NS
INDUSTOWER.NS
BHEL.NS
CONCOR.NS
SAIL.NS
AARTIIND.NS
NAVINFLUOR.NS
BEML.NS
BDL.NS
GRSE.NS
CDSL.NS
MANAPPURAM.NS
IIFL.NS
ZENSARTECH.NS
BSOFT.NS
BATAINDIA.NS
RAYMOND.NS
LAURUSLABS.NS
LALPATHLAB.NS
RVNL.NS
IRCON.NS
RITES.NS
MCX.NS
IEX.NS
TRIDENT.NS
CESC.NS
NIFTYBEES.NS
GOLDBEES.NS
MON100.NS
